P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);μ(cP);Viscosidade cinemática ν (cSt)
2520;328;1.820997499733850;0.005657559732526100;0.1318891955989240;0.000409759487470350;0.4881541644400470
2520;332.5;1.840017153728740;0.005523490604996630;0.1308078736952110;0.000392668111789570;0.4700223692824480
2520;337;1.858924396851850;0.005396700087284060;0.1297270513558400;0.000376614557623110;0.4529753841053420
2520;341.5;1.877727968352220;0.005276656275777880;0.1286463630998450;0.000361512770032653;0.4369241546162920
2520;346;1.896657070280970;0.005163475321740410;0.1275654436700810;0.000347285247617142;0.4217883794604410
2520;350.5;1.915534365800720;0.005056179117076270;0.1264839271569760;0.000333862656058153;0.4074962405305670
2520;355;1.934324901921510;0.004954253678641590;0.1254014461131150;0.000321182121522460;0.3939825079721160
2520;359.5;1.953037553980100;0.004857342795851240;0.1243176306530440;0.000309186757018197;0.3811881100208180
2520;364;1.971849116588520;0.004765530305848660;0.1232321075324300;0.000297825192687877;0.3690596962544830
2520;368.5;1.990542646507960;0.004677954357717890;0.1221444992004010;0.000287050565486842;0.3575485156477480
2520;373;2.009312213109070;0.004594783320555010;0.1210544228185530;0.000276820515605908;0.3466105216941330
2520;377.5;2.028108185847640;0.004515616443112520;0.1199614892395730;0.000267096241280679;0.3362052969926990
2520;382;2.046752979193380;0.004439812997761390;0.1188653019379260;0.000257842405943299;0.3262960234784380
2520;386.5;2.065460599138620;0.004367617920364850;0.1177654558842930;0.000249026544362396;0.3168488153980050
2520;391;2.084211698869480;0.004298768787766890;0.1166615363547030;0.000240619017485870;0.3078327335788560
2520;395.5;2.102986331639980;0.004233026705963830;0.1155531176642530;0.000232592778027576;0.2992195577481570
2520;400;2.121731560667660;0.004170102424897880;0.1144397618142540;0.000224922670281713;0.2909829497558380
2520;404.5;2.140524020914960;0.004109982793421430;0.1133210170402170;0.000217585705938131;0.2830988591461960
2520;409;2.159327473517790;0.004052441924393480;0.1121964162465710;0.000210560679906322;0.2755450798527910
2520;413.5;2.178303932416490;0.003997636071802700;0.1110654753121070;0.000203828007576079;0.2683010838460710
2520;418;2.197286362617340;0.003945115009917920;0.1099276912479560;0.000197369533678510;0.2613478121135140
2520;422.5;2.216305350485040;0.003894812459872920;0.1087825401873210;0.000191168420382814;0.2546675644691340
2520;427;2.235392885840250;0.003846670963691870;0.1076294751831110;0.000185209132428927;0.2482440161532570
2520;431.5;2.254599418735630;0.003800666391931390;0.1064679237859920;0.000179477141876963;0.2420618576895630
2520;436;2.273960300802180;0.003756752674222620;0.1052972853710270;0.000173958999313419;0.2361069193252290
2520;440.5;2.293289739539490;0.003714527762869030;0.1041169281759330;0.000168642109902696;0.2303658977721460
2520;445;2.312899041670250;0.003674411473303290;0.1029261860077700;0.000163514771702784;0.2248264336928650
2520;449.5;2.332760802140260;0.003636262315948350;0.1017243545674490;0.000158565951892029;0.2194768302391800
2520;454;2.352605376671300;0.003599581746869680;0.1005106873324280;0.000153785432556921;0.2143062760264080
2520;458.5;2.372718893038450;0.003564739794020710;0.0992843909270887;0.000149163485106184;0.2093044166498440
2520;463;2.393131808637180;0.003531705663234230;0.0980446198969374;0.000144691043798732;0.2044616144613920
2520;467.5;2.413789864144270;0.003500328724927290;0.0967904707864934;0.000140359552513619;0.1997687552095700
2520;472;2.434747079231010;0.003470623729275990;0.0955209754006254;0.000136160904225709;0.1952171802859640
2520;476.5;2.456070926204490;0.003442624721431770;0.0942350931041838;0.000132087415589511;0.1907986677723470
2520;481;2.477701440403650;0.003416188675042130;0.0929317019837202;0.000128131752555891;0.1865053425931720
2520;485.5;2.499796818962420;0.003391481531225560;0.0916095886560908;0.000124286992308143;0.1823297838987350
2520;490;2.522354486473720;0.003368444118215040;0.0902674364594544;0.000120546424794272;0.1782647541798240
2520;494.5;2.545540420598570;0.003347245929686830;0.0889038116994041;0.000116903632500363;0.1743033320709250
2520;499;2.569308708652010;0.003327774661874810;0.0875171475424051;0.000113352414636065;0.1704388201045510
2520;503.5;2.593795164259760;0.003310157785904810;0.0861057250444036;0.000109886678830344;0.1666646013943960
2520;508;2.619133545599450;0.003294517657686000;0.0846676506662114;0.000106500514501555;0.1629742701792380
2520;512.5;2.645450172613510;0.003280963239244900;0.0832008294475149;0.000103188056882696;0.1593614503602720
2520;517;2.672833074680480;0.003269553830866370;0.0817029327717210;0.000099943441798636;0.1558197507916560
2520;521.5;2.701570204014580;0.003260590614223850;0.0801713593307330;0.000096760758382256;0.1523427212764270
2520;526;2.731721410837970;0.003254090715679730;0.0786031874576788;0.000093633963373448;0.1489237531473700
2520;530.5;2.763700029182070;0.003250488394274850;0.0769951163854403;0.000090556764331903;0.1455559343402140
2520;535;2.797719911603360;0.003249968077086660;0.0753433931322992;0.000087522564887145;0.1422320094502780
2520;539.5;2.834341928613450;0.003253101383457560;0.0736437204943299;0.000084524201757218;0.1389440123398290
2520;544;2.873932887156950;0.003260211757976990;0.0718911398507264;0.000081553866648420;0.1356832033024860
2520;548.5;2.917481194894960;0.003272293637788120;0.0700798798633622;0.000078602715731332;0.1324395048679120
2520;553;2.965769329349250;0.003290048445108710;0.0682031581818429;0.000075660535128978;0.1292010290124820
2520;557.5;3.020164357616040;0.003314747036465310;0.0662529171138098;0.000072715135554256;0.1259531482542170
2520;562;3.082603835009790;0.003348145551271440;0.0642194644252047;0.000069751458711074;0.1226770478440380
2520;566.5;3.156018399513390;0.003392834664280610;0.0620909743480028;0.000066750057648379;0.1193471135898480
2520;571;3.244773851111040;0.003452503611063660;0.0598527764963673;0.000063684539036561;0.1159262791704950
2520;575.5;3.356589026674020;0.003533513465391320;0.0574863118456193;0.000060516391899028;0.1123561312353570
2520;580;3.505121278892430;0.003646428756301030;0.0549675445756530;0.000057183537816773;0.1085339527437010
2520;584.5;3.719628994758210;0.003812392548500310;0.0522644404313671;0.000053567859464714;0.1042453957651840
2880;275;1.593719321240310;0.008111974386626590;0.1447925264354570;0.000736988784766245;0.8324177530602840
2880;279.5;1.613216918147400;0.007813100136389390;0.1436765987750110;0.000695851649494314;0.7893444922260540
2880;284;1.632649968908070;0.007536805733241460;0.1425658052570920;0.000658126848306906;0.7497953311051540
2880;288.5;1.652148522409520;0.007281350056124230;0.1414597079627670;0.000623441318103663;0.7133884141178680
2880;293;1.671475383974290;0.007043641449438060;0.1403578807534820;0.000591471819513028;0.6797926085732690
2880;297.5;1.690797064108680;0.006822634439571570;0.1392599080723940;0.000561935826028389;0.6487180811767960
2880;302;1.710010839968040;0.006616353924273240;0.1381653838088130;0.000534587885641265;0.6199129734580270
2880;306.5;1.729275213836270;0.006424027075208880;0.1370739102177040;0.000509211317838651;0.5931545589222230
2880;311;1.748444873223300;0.006243873573488000;0.1359850968868290;0.000485616541786982;0.5682479236844890
2880;315.5;1.767517230590430;0.006074813994830980;0.1348985597446400;0.000463635456807138;0.5450199743983360
2880;320;1.786599727735750;0.005916260477501980;0.1338139201024490;0.000443119963890883;0.5233181747653220
2880;324.5;1.805636371192690;0.005767144608898620;0.1327308037247700;0.000423937926455514;0.5030062119344350
2880;329;1.824553953082760;0.005626471457997090;0.1316488399220060;0.000405972341375863;0.4839633710796420
2880;333.5;1.843489967892090;0.005493977607391970;0.1305676606598630;0.000389118365930175;0.4660813269976310
2880;338;1.862399716966060;0.005368889328956900;0.1294868996800300;0.000373282291442968;0.4492631893540900
2880;342.5;1.881177839175540;0.005250346987551190;0.1284061916267320;0.000358380290980784;0.4334222494401490
2880;347;1.900067823320380;0.005138522713398480;0.1273251711738020;0.000344336805262352;0.4184802529445130
2880;351.5;1.918846671344950;0.005032328897005260;0.1262434721468710;0.000331083604766444;0.4043664496816210
2880;356;1.937612570281540;0.004931618267193860;0.1251607266351680;0.000318559517664341;0.3910174340844010
2880;360.5;1.956330903569860;0.004835918507623670;0.1240765640872450;0.000306708927174311;0.3783754646221730
2880;365;1.974996126554120;0.004744871281728670;0.1229906103847250;0.000295481397300234;0.3663881328717760
2880;369.5;1.993694854571810;0.004658365230525210;0.1219024868878160;0.000284831103982921;0.3550077813132940
2880;374;2.012407726526980;0.004576057832321500;0.1208118094459630;0.000274716609146710;0.3441913340188770
2880;378.5;2.031083179318080;0.004497559769643340;0.1197181873665050;0.000265099779603804;0.3338990463342990
2880;383;2.049699470106250;0.004422583981385580;0.1186212223335990;0.000255945969346305;0.3240948157101750
2880;387.5;2.068345678121640;0.004351101358185600;0.1175205072689650;0.000247223490832069;0.3147455984496710
2880;392;2.087033458009620;0.004282921170305440;0.1164156251251620;0.000238903187435436;0.3058209380751900
2880;396.5;2.105742482558620;0.004217806724704210;0.1153061476010910;0.000230958461815655;0.2972930659549590
2880;401;2.124435609917210;0.004155505258788220;0.1141916337682310;0.000223364705627390;0.2891362313403310
2880;405.5;2.143156792009290;0.004095940871582190;0.1130716285947460;0.000216099310467796;0.2813267662849460
2880;410;2.161984449194330;0.004039107062987000;0.1119456613529250;0.000209141426345527;0.2738428230315900
2880;414.5;2.180667103732540;0.003984393832019840;0.1108132438935090;0.000202471805402885;0.2666642153881420
2880;419;2.199582404195340;0.003932366670691700;0.1096738687681840;0.000196072611495360;0.2597722100676430
2880;423.5;2.218478869424050;0.003882441188849310;0.1085270071788000;0.000189927309464483;0.2531494175304380
2880;428;2.237556085581390;0.003834855563849560;0.1073721067287260;0.000184020648038378;0.2467798051386730
2880;432.5;2.256559722626410;0.003789062842634630;0.1062085889479500;0.000178338296973121;0.2406482450054000
2880;437;2.275794801679890;0.003745481236996540;0.1050358465590270;0.000172866987923729;0.2347407295892590
2880;441.5;2.295126998785000;0.003703788685552830;0.1038532404456330;0.000167594410733768;0.2290442619013490
2880;446;2.314506623909610;0.003663820533714490;0.1026600962789810;0.000162509005096166;0.2235465983269840
