P (kPa);T (K);Título;cp (kJ/kg K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt)
1400;376.2;0;1.96534877300104;0.282704655384454;0.358362701231258
1400;379.9;0;1.98012168900159;0.274247767670526;0.34919492564591
1400;383.6;0;1.99503556148985;0.266137458220239;0.340396940750856
1400;387.3;0;2.00988182629823;0.258353508669788;0.331947401346946
1400;391;0;2.02485237484191;0.250877254170192;0.323826616482
1400;394.7;0;2.03987713931768;0.243691153811511;0.316016027219615
1400;398.4;0;2.05501077036686;0.236779196462874;0.308498758608944
1400;402.1;0;2.07010289219112;0.230126095944404;0.301258602839308
1400;405.8;0;2.08528736664948;0.223717887114209;0.294280816369672
1400;409.5;0;2.10057287056388;0.217541316401964;0.287551346983633
1400;413.2;0;2.11600079826584;0.211584044529923;0.281057117393794
1400;416.9;0;2.13150012362149;0.205834563304848;0.274785935835954
1400;420.6;0;2.14706393871816;0.200282079055251;0.268726359577492
1400;424.3;0;2.16278394287785;0.194916366680856;0.262867514961564
1400;428;0;2.17855658693208;0.189727878918577;0.257199258138733
1400;431.7;0;2.19444229176474;0.184707736564883;0.251712178883038
1400;435.4;0;2.21058623060355;0.179847411979295;0.246397184685467
1400;439.1;0;2.22682004469495;0.175138941707578;0.24124580058584
1400;442.8;0;2.24317425308434;0.170574824125463;0.236250042785247
1400;446.5;0;2.25973127089316;0.166147963607139;0.231402353230145
1400;450.2;0;2.27652530655312;0.161851644752613;0.226695574423271
1400;453.9;0;2.29340630654372;0.157679467244686;0.222122868239847
1400;457.6;0;2.31069872889128;0.153625409827682;0.217677815210102
1400;461.3;0;2.32808629723492;0.149683701297423;0.213354242594862
1400;465;0;2.34577987979566;0.145848930609602;0.209146389591557
1400;468.7;0;2.36378981146577;0.142115881995467;0.205048682244773
1400;472.4;0;2.38216350568371;0.138479528145228;0.201055729989916
1400;476.1;0;2.4008660798807;0.134935178226975;0.197162548741886
1400;479.8;0;2.42000377750315;0.131478212659822;0.193364185465942
1400;483.5;0;2.43944673630724;0.128104248159309;0.189655965674746
1400;487.2;0;2.45950105655026;0.124809084108186;0.186033425597007
1400;490.9;0;2.4800055686961;0.121588596068249;0.182492163198258
1400;494.6;0;2.50118632255013;0.118438799917092;0.17902794185907
1400;498.3;0;2.52302818326923;0.115355830512452;0.175636669500742
1400;502;0;2.54559614577884;0.112335889424771;0.17231433081926
1400;505.7;0;2.5689340358005;0.109375229112385;0.169056974508387
1400;509.4;0;2.59333590595888;0.10647015721104;0.165860733239766
1400;513.1;0;2.61877866149904;0.103616992015846;0.162721770442945
1400;516.8;0;2.64548085696655;0.100812005967006;0.159636208574071
1400;520.5;0;2.67363253148514;0.0980514403427948;0.156600171207186
1400;524.2;0;2.70339592384219;0.0953314909867269;0.153609785284707
1400;527.9;0;2.73514992808948;0.092648183763042;0.150661010204913
1400;531.6;0;2.76917153552215;0.0899973437042597;0.147749618735727
1400;535.3;0;2.80597731886862;0.0873746080211713;0.144871258991242
1400;539;0;2.84605031527792;0.0847752513325643;0.142021218196923
1400;542.7;0;2.89024096058755;0.0821941069749573;0.139194350985785
1750;276;0;1.57407315511837;0.800713809172517;0.911651587440347
1750;280;0;1.58943018608821;0.758824281509309;0.867308655914424
1750;284;0;1.60478165947833;0.720173923314294;0.826346865396794
1750;288;0;1.62015035841787;0.68443295446188;0.788424954686827
1750;292;0;1.63557212471753;0.651313662471074;0.753245097689334
1750;296;0;1.65104596756258;0.620561935893104;0.720543908143862
1750;300;0;1.66642959528409;0.591954194497793;0.690089524868334
1750;304;0;1.68187134258704;0.565291751854834;0.661675625537435
1750;308;0;1.69732967707837;0.540399131120962;0.635119944675511
1750;312;0;1.7128268722918;0.517119462887648;0.6102593153941
1750;316;0;1.72827900482725;0.49531309951408;0.586948403234328
1750;320;0;1.74382751096739;0.47485498509507;0.565056930585791
1750;324;0;1.75937421201256;0.455633265698058;0.544468316082204
1750;328;0;1.77487165815062;0.437547285315526;0.525077544774651
1750;332;0;1.79043687064934;0.420506285379241;0.506789833993557
1750;336;0;1.80600904055574;0.404428431062717;0.489519662317918
1750;340;0;1.8216802964798;0.389240080034094;0.47319006985891
1750;344;0;1.83726069606751;0.37487395333644;0.45773060141195
1750;348;0;1.85294171649655;0.361269331945764;0.443077681022576
1750;352;0;1.86861676436873;0.348370907066707;0.429173339428638
1750;356;0;1.88429245077153;0.336128341221632;0.415964788149235
1750;360;0;1.90003453188716;0.324495625927056;0.403403730293947
1750;364;0;1.91588108487776;0.313430655121693;0.391445922981295
1750;368;0;1.93164651985891;0.30289513558192;0.380051151436709
1750;372;0;1.94747155845198;0.292853598906946;0.36918207078236
1750;376;0;1.96344042657926;0.283273815401551;0.358804791554647
1750;380;0;1.97934870318791;0.274125831505346;0.348887730981175
1750;384;0;1.99531005301713;0.265382288528632;0.339402070467985
1750;388;0;2.01136381713958;0.25701776514505;0.330320972520757
1750;392;0;2.02753484412073;0.2490089941765;0.321619904420743
1750;396;0;2.04372278337651;0.241334288452303;0.313275945557465
1750;400;0;2.05985650632161;0.233973633398681;0.305267944296159
1750;404;0;2.07627779774751;0.226908397277274;0.297576178782031
1750;408;0;2.09264759660696;0.220121353427798;0.290182419085578
1750;412;0;2.10915118176118;0.213596435324759;0.283069637751117
1750;416;0;2.1257352781875;0.207318754278014;0.276222061589878
1750;420;0;2.14252517736798;0.201274301100351;0.269624802296966
1750;424;0;2.15927235845975;0.195450179793157;0.263264192055618
1750;428;0;2.17628379990567;0.189834175858138;0.257127229525366
1750;432;0;2.19339331795673;0.184414995136411;0.251201921037483
1750;436;0;2.21058191291228;0.179181884528086;0.245476787060644
1750;440;0;2.22796483122871;0.174124935432583;0.239941292794996
1750;444;0;2.2455765660767;0.169234774591511;0.234585445216915
1750;448;0;2.26341967975661;0.164502496368223;0.229399712956706
1750;452;0;2.2814305290647;0.159919863733574;0.224375320661053
1750;456;0;2.29968187860063;0.155478970201112;0.219503793734679
1750;460;0;2.31811331680375;0.151172435348867;0.214777244623335
1750;464;0;2.33697322643259;0.146993207385744;0.21018810866675
1750;468;0;2.35607046191532;0.142934615143307;0.20572922930604
1750;472;0;2.37552373946735;0.138990377506617;0.201393885616723
1750;476;0;2.39533622975136;0.135154413198536;0.197175530491643
1750;480;0;2.41560164584922;0.131420954254968;0.193067964958855
1750;484;0;2.43629865113135;0.127784477246794;0.18906525104545
1750;488;0;2.45755025573035;0.12423970051551;0.185161720386223
1750;492;0;2.47933163484136;0.12078146834797;0.181351814717458
1750;496;0;2.50184340958474;0.117404844071501;0.177630236683149
1750;500;0;2.52502008376664;0.114104981946995;0.17399177199732
1750;504;0;2.5490260767926;0.110877156180116;0.170431346774514
1750;508;0;2.57393818544616;0.10771671975774;0.166943981302897
1750;512;0;2.59999216020308;0.104619077688561;0.163524767059694
1750;516;0;2.62718021894522;0.10157960945141;0.160168766175948
1750;520;0;2.65586439609218;0.0985936505713909;0.156871004180851
1750;524;0;2.68610984600405;0.0956564617419133;0.15362644795876
1750;528;0;2.71830283525612;0.0927631748251743;0.150429952155503
1750;532;0;2.75272659869258;0.0899086405114722;0.14727605057857
1750;536;0;2.78996400787112;0.087087446682823;0.144159029032874
1750;540;0;2.83041760906523;0.0842937256198203;0.141072664582552
1750;544;0;2.87489284310122;0.0815210091526187;0.138010048754016
1750;548;0;2.92447049483405;0.0787620708429817;0.134963402607931
1750;552;0;2.98044907047669;0.0760085828465368;0.131923592635708
1750;556;0;3.04486197216405;0.0732507487414317;0.128879616130974
1750;560;0;3.12081499206635;0.0704766678351128;0.125817633390596
2100;288;0;1.61972287332084;0.684567788407987;0.788347143163854
2100;292;0;1.63512664164699;0.65144457344087;0.753169392160306
2100;296;0;1.65058166047532;0.62068927830367;0.720470009160691
2100;300;0;1.66594555677023;0.592078289830132;0.690017170152668
2100;304;0;1.68136664871126;0.565413163021135;0.661604901449187
2100;308;0;1.69680333942908;0.540517850768306;0.635050328958229
2100;312;0;1.71227784986014;0.5172357545782;0.610190652192487
